"Name","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","BsR","Fld","WAR","playerid"
"Juan Uribe","539","487","116","26","2","14","53","59","40","107","5","4","3",".239",".301",".384",".685",".300","-0.8","10.6","2.5","454"
"Chad Tracy","1","1","0","0","0","0","0","0","0","0","0","0","0",".246",".298",".390",".688",".300","0.0","0.0","0.0","1888"
"Steve Tolleson","33","29","7","2","0","0","3","3","3","6","0","1","0",".249",".319",".352",".671",".300","0.0","0.0","0.1","4450"
"Brandon Snyder","1","1","0","0","0","0","0","0","0","0","0","0","0",".243",".293",".392",".685",".300","0.0","0.0","0.0","9856"
"Chris Nelson","1","1","0","0","0","0","0","0","0","0","0","0","0",".250",".298",".387",".685",".300","0.0","0.0","0.0","8175"
"Geoff Blum","1","1","0","0","0","0","0","0","0","0","0","0","0",".245",".311",".369",".680",".300","0.0","0.0","0.0","550"
"Wilmer Flores","203","190","49","11","1","4","19","22","10","29","1","1","1",".257",".296",".389",".685",".299","-0.1","0.0","0.5","5827"
"Robinson Chirinos","99","88","21","4","1","2","11","10","9","19","1","1","0",".235",".310",".364",".674",".299","-0.1","0.0","0.3","3142"
"Maicer Izturis","372","336","86","19","1","4","39","34","27","42","3","6","3",".257",".316",".356",".672",".299","0.0","-4.5","0.3","2437"
"Ryan Roberts","54","48","11","2","0","1","5","5","5","11","0","1","1",".235",".307",".365",".672",".299","0.0","-0.1","0.1","5653"
"Jose Lopez","1","1","0","0","0","0","0","0","0","0","0","0","0",".251",".289",".394",".683",".298","0.0","0.0","0.0","3114"
"Jamey Carroll","1","1","0","0","0","0","0","0","0","0","0","0","0",".266",".332",".330",".662",".298","0.0","0.0","0.0","1591"
"Mark DeRosa","1","1","0","0","0","0","0","0","0","0","0","0","0",".234",".314",".351",".665",".297","0.0","0.0","0.0","1392"
"Alex Liddi","1","1","0","0","0","0","0","0","0","0","0","0","0",".228",".286",".391",".677",".297","0.0","0.0","0.0","5411"
"Drew Sutton","1","1","0","0","0","0","0","0","0","0","0","0","0",".245",".316",".344",".660",".296","0.0","0.0","0.0","7430"
"Ivan De Jesus","1","1","0","0","0","0","0","0","0","0","0","0","0",".258",".311",".355",".666",".296","0.0","0.0","0.0","9886"
"Orlando Hudson","1","1","0","0","0","0","0","0","0","0","0","0","0",".243",".311",".355",".667",".296","0.0","0.0","0.0","1307"
"Will Rhymes","1","1","0","0","0","0","0","0","0","0","0","0","0",".256",".321",".337",".658",".295","0.0","0.0","0.0","9802"
"Matt Downs","1","1","0","0","0","0","0","0","0","0","0","0","0",".232",".290",".378",".668",".294","0.0","0.0","0.0","957"
"Andy LaRoche","1","1","0","0","0","0","0","0","0","0","0","0","0",".236",".300",".364",".664",".294","0.0","0.0","0.0","6444"
"Ian Stewart","1","1","0","0","0","0","0","0","0","0","0","0","0",".206",".295",".370",".665",".293","0.0","0.0","0.0","5950"
"Placido Polanco","140","127","33","6","0","1","14","12","9","13","2","1","0",".263",".316",".339",".655",".292","-0.3","-0.2","0.2","1176"
"Gil Velazquez","1","1","0","0","0","0","0","0","0","0","0","0","0",".256",".320",".332",".653",".292","0.0","0.0","0.0","2070"
"Sean Burroughs","1","1","0","0","0","0","0","0","0","0","0","0","0",".251",".306",".354",".659",".292","0.0","0.0","0.0","1021"
"Joaquin Arias","255","240","63","13","2","3","24","25","10","35","2","3","1",".264",".296",".370",".667",".291","0.2","0.0","-0.3","3817"
"Ramiro Pena","232","211","52","10","1","3","21","21","16","40","2","3","2",".248",".304",".348",".652",".290","-0.2","0.1","0.3","8841"
"Miguel Cairo","1","1","0","0","0","0","0","0","0","0","0","0","0",".248",".297",".360",".656",".290","0.0","0.0","0.0","1412"
"Jack Hannahan","162","143","32","7","1","3","15","15","15","35","1","1","1",".227",".305",".342",".647",".289","-0.5","-0.3","0.1","3692"
"Cody Ransom","1","1","0","0","0","0","0","0","0","0","0","0","0",".209",".287",".364",".651",".289","0.0","0.0","0.0","1126"
"Adam Kennedy","1","1","0","0","0","0","0","0","0","0","0","0","0",".244",".307",".343",".651",".289","0.0","0.0","0.0","19"
"Jerry Hairston","1","1","0","0","0","0","0","0","0","0","0","0","0",".245",".305",".341",".646",".288","0.0","0.0","0.0","144"
"Andrew Romine","136","123","31","5","1","1","14","12","10","23","1","4","2",".251",".311",".332",".642",".287","0.1","0.1","0.3","1159"
"Jose Iglesias","568","523","134","22","3","6","57","52","29","77","7","12","6",".257",".303",".341",".645",".287","-0.1","2.5","1.3","10231"
"Ed Lucas","163","149","36","7","0","3","16","14","10","33","1","1","1",".244",".297",".349",".646",".287","0.0","-0.3","0.2","7532"
"Mike Fontenot","1","1","0","0","0","0","0","0","0","0","0","0","0",".242",".298",".346",".644",".285","0.0","0.0","0.0","3912"
"Elian Herrera","1","1","0","0","0","0","0","0","0","0","0","0","0",".238",".309",".325",".634",".285","0.0","0.0","0.0","5432"
"Eduardo Escobar","264","243","60","12","2","3","26","23","16","50","2","5","3",".245",".293",".349",".642",".284","-0.1","-0.7","0.4","6153"
"Miguel Tejada","1","1","0","0","0","0","0","0","0","0","0","0","0",".257",".296",".352",".649",".284","0.0","0.0","0.0","941"
"Zach Walters","81","76","18","4","1","2","8","9","3","20","0","1","1",".232",".267",".384",".651",".283","0.0","0.0","0.1","10622"
"Nick Noonan","54","49","12","3","0","0","5","5","4","10","0","1","0",".250",".302",".339",".641",".283","0.0","0.0","-0.1","6880"
"Nate Spears","1","1","0","0","0","0","0","0","0","0","0","0","0",".221",".299",".332",".630",".283","0.0","0.0","0.0","6026"
"Pedro Ciriaco","172","162","42","8","1","2","18","16","6","27","1","6","3",".259",".288",".357",".646",".282","0.2","-1.6","0.0","5278"
"Omar Vizquel","1","1","0","0","0","0","0","0","0","0","0","0","0",".254",".302",".331",".633",".282","0.0","0.0","0.0","411"
"Jeff Bianchi","324","299","74","14","1","4","28","29","19","56","2","7","4",".248",".294",".341",".635",".282","0.1","1.6","-0.7","9958"
"Brent Morel","52","47","11","2","0","1","5","5","4","12","0","1","1",".231",".292",".340",".632",".281","0.0","0.1","0.0","6402"
"Nick Punto","202","178","41","9","0","1","20","15","20","38","1","3","1",".232",".311",".309",".619",".281","0.1","0.6","0.3","1429"
"Jonathan Diaz","1","1","0","0","0","0","0","0","0","0","0","0","0",".231",".311",".306",".616",".280","0.0","0.0","0.0","4142"
"Brandon Inge","1","1","0","0","0","0","0","0","0","0","0","0","0",".218",".284",".343",".627",".279","0.0","0.0","0.0","470"
"Luke Hughes","1","1","0","0","0","0","0","0","0","0","0","0","0",".225",".286",".340",".626",".279","0.0","0.0","0.0","4898"
"Jayson Nix","1","1","0","0","0","0","0","0","0","0","0","0","0",".220",".284",".342",".626",".278","0.0","0.0","0.0","3790"
"Chris Valaika","80","74","18","4","0","1","7","7","4","15","1","1","0",".241",".283",".344",".627",".277","-0.1","-0.3","0.0","1165"
"Yuniesky Betancourt","1","1","0","0","0","0","0","0","0","0","0","0","0",".233",".266",".367",".633",".276","0.0","0.0","0.0","8585"
"Paul Janish","33","29","7","2","0","0","3","3","2","5","0","0","0",".229",".293",".320",".613",".275","0.0","0.1","0.0","7412"
"Luis Cruz","1","1","0","0","0","0","0","0","0","0","0","0","0",".241",".273",".352",".626",".274","0.0","0.0","0.0","3188"
"Jason Donald","1","1","0","0","0","0","0","0","0","0","0","0","0",".230",".287",".328",".616",".274","0.0","0.0","0.0","9331"
"Pete Orr","1","1","0","0","0","0","0","0","0","0","0","0","0",".238",".278",".339",".616",".271","0.0","0.0","0.0","2748"
"Luis Hernandez","1","1","0","0","0","0","0","0","0","0","0","0","0",".238",".280",".326",".606",".269","0.0","0.0","0.0","3206"
"Ray Olmedo","1","1","0","0","0","0","0","0","0","0","0","0","0",".239",".289",".309",".598",".267","0.0","0.0","0.0","1718"
"Alberto Gonzalez","1","1","0","0","0","0","0","0","0","0","0","0","0",".228",".271",".308",".579",".256","0.0","0.0","0.0","4906"
