"Name","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","BsR","Fld","WAR","playerid"
"Jonathan Schoop","276","253","62","12","1","7","29","29","16","48","3","3","2",".243",".294",".376",".670",".295","0.0","-0.4","0.4","11265"
"Blake DeWitt","1","1","0","0","0","0","0","0","0","0","0","0","0",".248",".308",".362",".671",".295","0.0","0.0","0.0","7485"
"Jose Ramirez","54","50","13","2","0","0","6","5","3","5","0","3","2",".266",".310",".358",".668",".295","-0.1","0.0","0.2","13510"
"Cord Phelps","81","73","17","4","0","2","8","8","7","15","0","1","1",".237",".302",".361",".663",".295","-0.1","-0.1","-0.1","8631"
"Will Rhymes","1","1","0","0","0","0","0","0","0","0","0","0","0",".256",".321",".337",".658",".295","0.0","0.0","0.0","9802"
"Emilio Bonifacio","1","1","0","0","0","0","0","0","0","0","0","0","0",".257",".319",".339",".658",".294","0.0","0.0","0.0","4054"
"Ryan Flaherty","358","325","75","15","1","11","38","39","24","77","4","3","2",".232",".289",".383",".672",".294","-0.1","1.1","0.7","7888"
"Logan Watkins","64","57","14","2","1","1","6","6","6","12","1","2","1",".239",".310",".345",".655",".293","0.0","0.1","0.1","4875"
"Tyler Greene","1","1","0","0","0","0","0","0","0","0","0","0","0",".234",".296",".371",".667",".293","0.0","0.0","0.0","4675"
"Donovan Solano","270","248","65","12","1","2","25","22","16","42","3","2","1",".261",".310",".351",".661",".293","-0.2","-0.2","0.4","8623"
"Jonathan Herrera","152","138","35","6","1","1","16","14","11","21","1","2","1",".257",".315",".344",".659",".292","-0.1","0.1","0.2","4182"
"Henry Rodriguez","66","62","16","3","0","1","6","6","3","9","0","1","1",".261",".300",".359",".658",".291","0.0","0.0","0.1","7983"
"Ryan Theriot","1","1","0","0","0","0","0","0","0","0","0","0","0",".265",".315",".337",".652",".290","0.0","0.0","0.0","3811"
"Adam Kennedy","1","1","0","0","0","0","0","0","0","0","0","0","0",".244",".307",".343",".651",".289","0.0","0.0","0.0","19"
"Mike McCoy","1","1","0","0","0","0","0","0","0","0","0","0","0",".227",".316",".317",".633",".288","0.0","0.0","0.0","4583"
"Matt Young","1","1","0","0","0","0","0","0","0","0","0","0","0",".234",".314",".323",".637",".287","0.0","0.0","0.0","8989"
"Ramon Santiago","1","1","0","0","0","0","0","0","0","0","0","0","0",".242",".307",".333",".640",".287","0.0","0.0","0.0","1417"
"Angel Sanchez","1","1","0","0","0","0","0","0","0","0","0","0","0",".251",".310",".329",".639",".286","0.0","0.0","0.0","3492"
"Mike Fontenot","1","1","0","0","0","0","0","0","0","0","0","0","0",".242",".298",".346",".644",".285","0.0","0.0","0.0","3912"
"Darwin Barney","536","490","122","26","2","6","48","44","32","60","5","5","3",".248",".300",".344",".644",".285","1.7","6.4","1.1","2430"
"Alexi Amarista","284","263","65","13","3","3","26","25","16","38","2","5","3",".246",".291",".355",".646",".285","0.0","-0.7","-0.6","9063"
"Irving Falu","13","12","3","1","0","0","1","1","1","1","0","0","0",".258",".305",".334",".640",".285","0.0","0.0","0.0","6165"
"Tim Beckham","1","1","0","0","0","0","0","0","0","0","0","0","0",".242",".298",".342",".640",".285","0.0","0.0","0.0","7949"
"Danny Espinosa","220","199","44","10","1","5","21","21","15","63","4","4","2",".220",".284",".358",".642",".284","0.0","1.1","0.3","9219"
"Miguel Tejada","1","1","0","0","0","0","0","0","0","0","0","0","0",".257",".296",".352",".649",".284","0.0","0.0","0.0","941"
"Nick Noonan","54","49","12","3","0","0","5","5","4","10","0","1","0",".250",".302",".339",".641",".283","0.0","0.0","-0.1","6880"
"Freddy Galvis","278","259","63","13","2","5","24","26","13","46","2","3","2",".243",".283",".363",".645",".283","-0.3","0.3","-0.7","6609"
"Nate Spears","1","1","0","0","0","0","0","0","0","0","0","0","0",".221",".299",".332",".630",".283","0.0","0.0","0.0","6026"
"Omar Vizquel","1","1","0","0","0","0","0","0","0","0","0","0","0",".254",".302",".331",".633",".282","0.0","0.0","0.0","411"
"Chris Getz","66","60","15","3","0","0","7","5","5","7","0","3","1",".252",".306",".327",".633",".281","0.1","0.0","0.0","3388"
"Nick Punto","202","178","41","9","0","1","20","15","20","38","1","3","1",".232",".311",".309",".619",".281","0.1","0.6","0.3","1429"
"Jonathan Diaz","1","1","0","0","0","0","0","0","0","0","0","0","0",".231",".311",".306",".616",".280","0.0","0.0","0.0","4142"
"Andy Parrino","32","29","7","2","0","0","3","3","3","7","0","0","0",".227",".299",".328",".627",".279","0.0","-0.1","0.0","3972"
"Willie Harris","1","1","0","0","0","0","0","0","0","0","0","0","0",".222",".295",".330",".626",".279","0.0","0.0","0.0","236"
"Luke Hughes","1","1","0","0","0","0","0","0","0","0","0","0","0",".225",".286",".340",".626",".279","0.0","0.0","0.0","4898"
"Alexi Casilla","1","1","0","0","0","0","0","0","0","0","0","0","0",".238",".295",".329",".624",".279","0.0","0.0","0.0","5248"
"Michael Martinez","13","12","3","1","0","0","1","1","1","2","0","0","0",".246",".289",".344",".633",".278","0.0","0.0","0.0","7358"
"Chase d'Arnaud","34","31","7","2","0","0","3","3","2","6","0","2","1",".235",".286",".340",".626",".278","0.0","0.0","0.0","6652"
"Ryan Jackson","13","12","3","1","0","0","1","1","1","2","0","0","0",".239",".296",".324",".621",".277","0.0","0.0","0.0","6596"
"Chris Valaika","80","74","18","4","0","1","7","7","4","15","1","1","0",".241",".283",".344",".627",".277","-0.1","-0.3","0.0","1165"
"Phil Gosselin","34","31","8","1","0","0","3","3","2","5","0","0","0",".244",".291",".331",".622",".276","0.0","0.0","0.0","10953"
"Elliot Johnson","1","1","0","0","0","0","0","0","0","0","0","0","0",".230",".285",".336",".621",".276","0.0","0.0","0.0","4751"
"Yuniesky Betancourt","1","1","0","0","0","0","0","0","0","0","0","0","0",".233",".266",".367",".633",".276","0.0","0.0","0.0","8585"
"Robert Andino","20","18","4","1","0","0","2","2","1","4","0","0","0",".234",".290",".325",".615",".275","0.0","-0.1","0.0","4900"
"Eric Farris","1","1","0","0","0","0","0","0","0","0","0","0","0",".247",".289",".328",".617",".274","0.0","0.0","0.0","2066"
"Tsuyoshi Nishioka","1","1","0","0","0","0","0","0","0","0","0","0","0",".242",".294",".320",".614",".273","0.0","0.0","0.0","11531"
"Emmanuel Burriss","1","1","0","0","0","0","0","0","0","0","0","0","0",".249",".299",".311",".610",".272","0.0","0.0","0.0","2917"
"Danny Worth","1","1","0","0","0","0","0","0","0","0","0","0","0",".223",".289",".317",".606",".272","0.0","0.0","0.0","198"
"Ryan Goins","234","217","52","11","1","2","22","21","13","45","1","3","2",".240",".283",".332",".615",".272","-0.5","1.1","0.0","9807"
"Hernan Perez","33","31","8","1","0","0","3","3","1","5","0","1","1",".250",".280",".336",".617",".272","0.0","0.0","0.0","5751"
"Pete Orr","1","1","0","0","0","0","0","0","0","0","0","0","0",".238",".278",".339",".616",".271","0.0","0.0","0.0","2748"
"Leury Garcia","116","107","25","4","1","1","11","9","6","26","1","6","3",".236",".280",".325",".605",".268","0.1","-0.2","-0.1","5913"
"Josh Wilson","1","1","0","0","0","0","0","0","0","0","0","0","0",".226",".273",".327",".600",".266","0.0","0.0","0.0","2102"
"Wilson Valdez","1","1","0","0","0","0","0","0","0","0","0","0","0",".233",".278",".307",".585",".259","0.0","0.0","0.0","1863"
"Alberto Gonzalez","1","1","0","0","0","0","0","0","0","0","0","0","0",".228",".271",".308",".579",".256","0.0","0.0","0.0","4906"
